,city,temp,max temp,humidity,cloudiness,wind speed,lat,lon,city country,city datetime
335,lazaro cardenas,77.02,87.8,16,5,3.36,29.05,-111.04,MX,1571882583
336,boralday,32,32,34,49,4.47,43.36,76.86,KZ,1571882584
338,hovd,46.42,53.01,93,100,3.36,63.83,10.7,NO,1571882585
339,timmins,41,41,80,75,6.93,48.48,-81.33,CA,1571882586
340,porto belo,50.74,53.01,93,20,2.24,41.15,-8.61,PT,1571882400
341,narsaq,30.2,30.2,74,40,4.7,60.91,-46.05,GL,1571882588
342,puerto escondido,51.8,51.8,57,100,27.51,-51.62,-69.23,AR,1571882588
343,iskateley,26.1,26.1,88,100,9.86,67.68,53.15,RU,1571882589
345,ziarat,48.22,48.22,20,0,1.88,30.38,67.73,PK,1571882590
346,cap malheureux,53.53,57,93,90,4.7,49.27,-1.21,FR,1571882591
347,port macquarie,77.32,77.32,71,43,1.48,-7.04,29.76,CD,1571882344
348,sinnamary,81.45,81.45,77,6,15.84,5.38,-52.96,GF,1571882592
349,ishigaki,78.8,78.8,65,20,11.41,24.34,124.16,JP,1571882596
351,barbastro,47.89,51.01,93,49,1.12,42.04,0.13,ES,1571882598
352,ust-tsilma,28.02,28.02,91,100,6.55,65.44,52.15,RU,1571882598
353,creel,49.68,49.68,66,0,1.79,27.75,-107.63,MX,1571882599
354,kostomuksha,32.59,32.59,94,96,6.31,64.59,30.6,RU,1571882600
355,natchitoches,54.28,55.4,87,1,4.54,31.76,-93.09,US,1571882601
356,sibolga,82.42,82.42,71,25,3.13,1.74,98.78,ID,1571882601
357,kawalu,85.42,85.42,39,11,7.14,-7.38,108.21,ID,1571882602
358,namibe,68.88,68.88,70,0,7.76,-15.19,12.15,AO,1571882603
359,geraldton,33.8,33.8,86,90,10.29,49.72,-86.95,CA,1571882603
360,okha,40.64,40.64,59,21,2.98,53.59,142.95,RU,1571882604
361,grahamstown,57.99,57.99,83,51,3,-33.31,26.53,ZA,1571882605
362,mabaruma,73.08,73.08,98,32,1.54,8.2,-59.78,GY,1571882606
363,leningradskiy,22.24,22.24,78,100,25.88,69.38,178.42,RU,1571882606
364,adrar,64.4,64.4,23,33,10.29,27.87,-0.29,DZ,1571882607
365,denpasar,82.4,82.4,83,20,6.93,-8.65,115.22,ID,1571882425
366,soe,48.09,48.2,93,90,8.05,57.91,26.05,EE,1571882608
367,ocos,75.2,75.2,100,75,9.17,14.51,-92.19,GT,1571882609
368,coahuayana,72.73,72.73,85,26,2.93,18.62,-100.35,MX,1571882610
371,fairbanks,37.2,39.2,55,75,8.05,64.84,-147.72,US,1571882612
372,half moon bay,77,77,94,75,1.36,6.38,-10.7,LR,1571882613
373,cagliari,46.42,53.01,93,75,9.17,46.38,10.88,IT,1571882613
375,labuhan,93.47,93.47,33,7,3.38,-2.54,115.51,ID,1571882615
376,abu samrah,64.35,68,100,75,2.24,34.51,131.49,JP,1571882615
377,berlevag,33.35,33.35,71,100,12.77,70.86,29.09,NO,1571882616
